site,species
Brijuni,Chromis.chromis
Brijuni,Coris.julis
Brijuni,Diplodus.annularis
Brijuni,Diplodus.puntazzo
Brijuni,Diplodus.sargus
Brijuni,Diplodus.vulgaris
Brijuni,Oblada.melanura
Brijuni,Serranus.scriba
Brijuni,Symphodus.tinca
Gdor,Anthias.anthias
Gdor,Chromis.chromis
Gdor,Diplodus.cervinus
Gdor,Diplodus.sargus
Gdor,Diplodus.vulgaris
Gdor,Lithognathus.mormyrus
Gdor,Mycteroperca.rubra
Gdor,Oblada.melanura
Gdor,Sargocentron.rubrum
Gdor,Serranus.cabrilla
Gdor,Siganus.luridus
Gdor,Siganus.rivulatus
Gdor,Thalassoma.pavo
Habonim,Atherina.boyeri
Habonim,Chromis.chromis
Habonim,Diplodus.vulgaris
Habonim,Parupeneus.forsskali
Habonim,Sargocentron.rubrum
Kornati,Boops.boops
Kornati,Cheilodipterus.novemstriatus
Kornati,Chromis.chromis
Kornati,Coris.julis
Kornati,Ctenolabrus.rupestris
Kornati,Diplodus.annularis
Kornati,Diplodus.puntazzo
Kornati,Diplodus.sargus
Kornati,Diplodus.vulgaris
Kornati,Sarpa.salpa
Kornati,Serranus.scriba
Kornati,Spicara.maena
Kornati,Spicara.smaris
Kornati,Spondyliosoma.cantharus
Kornati,Symphodus.mediterraneus
Kornati,Symphodus.tinca
Marettimo,Caranx.crysos
Marettimo,Chromis.chromis
Marettimo,Parablennius.incognitus
Marettimo,Sarpa.salpa
Marettimo,Serranus.cabrilla
Marettimo,Symphodus.tinca
Miljet,Sarpa.salpa
San vito,Serranus.scriba
Shikmona,Dicentrarchus.punctatus
Shikmona,Diplodus.puntazzo
Shikmona,Thalassoma.pavo
Ustica,Symphodus.tinca
