Row Labels,Diplodus.sargus,Epinephelus.marginatus,Mugil.cephalus,Sargocentron.rubrum,Sarpa.salpa,Siganus.rivulatus
1 Km South of the marina,36,,2,,4,
1000m S of Harbor,16,1,1,,,
500m S of Harbor,18,,,,3,
Achziv,85,38,2,166,,187
ADRASAN,15,2,,1,,5
Akhziv Is.,8,6,4,11,,19
ALONISSOS,3,,,,19,
Alykes,6,,1,,1,6
Asinara,60,21,11,,34,
ASINARA_add,246,51,48,,108,
AYVALIK,7,1,1,,6,
Banyuls,19,,,,1,
Banyuls port,13,,1,,,
Beach at next bay over from Banyuls,4,,,,,
Behind the marina,5,,,,,
Brijuni,57,,1,,24,
CABRERA,22,7,,,3,
Cap Bear,157,,,,25,
Cap Canadelle,129,,1,,38,
Cap Cerbere,116,,1,,38,
CAP DE CREUS,56,1,,,6,
Cap d'Ullastrell,133,,1,,20,
Cap l'Abeille,221,20,22,,45,
Cap Peyrefite,141,5,9,,35,
Cap Rederis,210,24,22,,40,
CAPO CACCIA,34,2,,,15,
CARLOFORTE,20,1,,,22,
CAVALLERIA,14,7,,,7,
Chapel,3,,2,4,,13
DRAGONERA,20,,,,5,
EIVISSA,11,1,,,11,
FETHIYE,9,2,,1,,15
FORMENTERA,12,10,,,3,
FORMENTOR,8,2,,,3,
Gdor,604,26,9,28,,559
GENOVA,33,,,,9,
GOKOVA,3,1,,2,,1
GYAROS,4,3,,,12,
Habonim,464,16,31,30,,353
ILLA DE L'AIRE,13,,,,7,
KARPATHOS,9,2,,,2,
KAS,,,,,,7
Keysaria Port,2,,,,,1
KIMOLOS,6,2,,,6,
Kolokytha,7,2,,,,18
Konnos Point,2,,2,8,,17
Kornati,13,6,,,50,
Lampedusa,17,10,,,66,
Linosa,7,26,,,76,
Mades,5,,3,,2,18
Malta,51,10,5,,15,
MARATEA,8,1,,,11,
Marettimo,4,5,,,58,
MEDES,70,11,,,7,
Miljet,2,4,1,,38,
Mljet,6,1,,,12,
MONTGRI,43,,,,11,
Nachlieli,19,6,7,11,3,16
"North of the arches, public beach",13,,,,2,
North slope algae,,1,,3,7,14
North slope C,22,4,,4,,21
North slope GZ,,,,,,4
OTRANTO,31,1,,,5,
Outside reseve,4,,,,1,
PIPERI,12,2,,,7,
PORTO CESAREO,38,,1,,9,
PORTOFINO,54,10,2,,13,
Ridge 1,,,,,,3
San vito,63,2,1,,26,
Segavion,6,3,,3,,16
Shachaf,17,14,14,6,6,21
Shikmona,105,12,,74,,141
Shikmona 1,3,,,1,,5
Shikmona 2,6,,,,,10
Shikmona 3,3,,,6,,8
Shikmona 4,16,,,,,9
Shikmona 5,17,,,1,,15
South edge of no-take zone,22,,2,,,
south of Cape Bear,5,,,,,
Spartan,18,8,,19,,15
Sponge Bob Harbor,,,,11,,8
TAVOLARA,41,7,,,14,
TORRE GUACETO,60,,,,2,
TREMITI,4,,,,3,
Ustica,1,21,2,,56,
