species,sci_name
Atherina.boyeri,Atherina boyeri
Coris.julis,Coris julis
Diplodus.annularis,Diplodus annularis
Diplodus.puntazzo,Diplodus puntazzo
Diplodus.sargus,Diplodus sargus
Labrus.merula,Labrus merula
Mugil.cephalus,Mugil cephalus
Sarpa.salpa,Sarpa salpa
Serranus.scriba,Serranus scriba
Thalassoma.pavo,Thalassoma pavo
Serranus.cabrilla,Serranus cabrilla
Symphodus.roissali,Symphodus roissali
Symphodus.tinca,Symphodus tinca
Chromis.chromis,Chromis chromis
Labrus.viridis,Labrus viridis
Oblada.melanura,Oblada melanura
Apogon.imberbis,Apogon imberbis
Epinephelus.marginatus,Epinephelus marginatus
Seriola.dumerili,Seriola dumerili
Symphodus.melanocercus,Symphodus melanocercus
Muraena.helena,Muraena helena
Sciaena.umbra,Sciaena umbra
Mullus.surmuletus,Mullus surmuletus
Tripterygion.melanurus,Tripterygion melanurus
Sparus.aurata,Sparus aurata
Symphodus.rostratus,Symphodus rostratus
Parablennius.rouxi,Parablennius rouxi
Parablennius.zvonimiri,Parablennius zvonimiri
Dentex.dentex,Dentex dentex
Dicentrarchus.labrax,Dicentrarchus labrax
Epinephelus.costae,Epinephelus costae
Diplodus.vulgaris,Diplodus vulgaris
Gobius.bucchichi,Gobius bucchichi
Gobius.paganellus,Gobius paganellus
Phycis.phycis,Phycis phycis
Symphodus.mediterraneus,Symphodus mediterraneus
Tripterygion.tripteronotus,Tripterygion tripteronotus
Tripterygion.delaisi,Tripterygion delaisi
Scorpaena.porcus,Scorpaena porcus
Parablennius.sanguinolentus,Parablennius sanguinolentus
Parablennius.gattorugine,Parablennius gattorugine
Gobius.cruentatus,Gobius cruentatus
Scorpaena.notata,Scorpaena notata
Spicara.maena,Spicara maena
Symphodus.ocellatus,Symphodus ocellatus
Spondyliosoma.cantharus,Spondyliosoma cantharus
Boops.boops,Boops boops
Labrus.mixtus,Labrus mixtus
Sphyraena.viridensis,Sphyraena viridensis
Symphodus.cinereus,Symphodus cinereus
Oedalechilus.labeo,Oedalechilus labeo
Sparisoma.cretense,Sparisoma cretense
Scorpaena.maderensis,Scorpaena maderensis
Sphyraena.sphyraena,Sphyraena sphyraena
Dactylopterus.volitans,Dactylopterus volitans
Parablennius.pilicornis,Parablennius pilicornis
Caranx.crysos,Caranx crysos
Scorpaena.scrofa,Scorpaena scrofa
Belone.belone,Belone belone
Fistularia.commersonii,Fistularia commersonii
Scartella.cristata,Scartella cristata
Siganus.luridus,Siganus luridus
Symphodus.doderleini,Symphodus doderleini
Parablennius.incognitus,Parablennius incognitus
Trachinotus.ovatus,Trachinotus ovatus
Mycteroperca.rubra,Mycteroperca rubra
Siganus.rivulatus,Siganus rivulatus
Sargocentron.rubrum,Sargocentron rubrum
Gobius.cobitis,Gobius cobitis
Spicara.smaris,Spicara smaris
Gobius.xanthocephalus,Gobius xanthocephalus
Gobius.geniporus,Gobius geniporus
Trisopterus.minutus,Trisopterus minutus
Gobius.vittatus,Gobius vittatus
Pagellus.acarne,Pagellus acarne
Ctenolabrus.rupestris,Ctenolabrus rupestris
Conger.conger,Conger conger
Diplodus.cervinus,Diplodus cervinus
Chelon.labrosus,Chelon labrosus
Pteragogus.pelycus,Pteragogus pelycus
Liza.aurata,Liza aurata
Dasyatis.pastinaca,Dasyatis pastinaca
Epinephelus.caninus,Epinephelus caninus
Anthias.anthias,Anthias anthias
Pagrus.pagrus,Pagrus pagrus
Pomatomus.saltatrix,Pomatomus saltatrix
Lithognathus.mormyrus,Lithognathus mormyrus
Pomatoschistus.quagga,Pomatoschistus quagga
Synodus.saurus,Synodus saurus
Gobius.auratus,Gobius auratus
Balistes.capriscus,Balistes capriscus
Pempheris.vanicolensis,Pempheris vanicolensis
Taeniura.grabata,Taeniura grabata
Pomadasys.incisus,Pomadasys incisus
Stephanolepis.diaspros,Stephanolepis diaspros
Scarus.ghobban,Scarus ghobban
Parupeneus.forsskali,Parupeneus forsskali
Plotosus.lineatus,Plotosus lineatus
Torquigener.flavimaculosus,Torquigener flavimaculosus
Lagocephalus.sceleratus,Lagocephalus sceleratus
Cheilodipterus.novemstriatus,Cheilodipterus novemstriatus
Serranus.hepatus,Serranus hepatus
Pseudocaranx.dentex,Pseudocaranx dentex
Sphyraena.chrysotaenia,Sphyraena chrysotaenia
Dicentrarchus.punctatus,Dicentrarchus punctatus
Epinephelus.aeneus,Epinephelus aeneus
Sardina.pilchardus,Sardina pilchardus
Abudefduf.saxatilis,Abudefduf saxatilis
Herklotsichthys.punctatus,Herklotsichthys punctatus
Lichia.amia,Lichia amia
Clupeidae,Clupeidae
Labridae,Labridae
Symphodus.spp.,Symphodus spp 
Myliobatis.aquila,Myliobatis aquila
Trachurus.mediterraneus,Trachurus mediterraneus
Mullus.barbatus,Mullus barbatus
Belonidae,Belonidae
Pagrus.caeruleostictus,Pagrus caeruleostictus
Parablennius.tentacularis,Parablennius tentacularis
Pterois.miles,Pterois miles
Trachinus.draco,Trachinus draco
Atherina.spp,Atherina spp
