"Diplodus.sargus","Epinephelus.marginatus","Mugil.cephalus","Sargocentron.rubrum","Sarpa.salpa","Siganus.rivulatus"
1,0,1,0,1,0
1,1,1,0,0,0
1,0,0,0,1,0
1,1,1,1,0,1
1,1,0,1,0,1
1,1,1,1,0,1
1,0,0,0,1,0
1,0,1,0,1,1
1,1,1,0,1,0
1,1,1,0,1,0
1,1,1,0,1,0
1,0,0,0,1,0
1,0,1,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,1,0,1,0
1,1,0,0,1,0
1,0,0,0,1,0
1,0,1,0,1,0
1,0,1,0,1,0
1,1,0,0,1,0
1,0,1,0,1,0
1,1,1,0,1,0
1,1,1,0,1,0
1,1,1,0,1,0
1,1,0,0,1,0
1,1,0,0,1,0
1,1,0,0,1,0
1,0,1,1,0,1
1,0,0,0,1,0
1,1,0,0,1,0
1,1,0,1,0,1
1,1,0,0,1,0
1,1,0,0,1,0
1,1,1,1,0,1
1,0,0,0,1,0
1,1,0,1,0,1
1,1,0,0,1,0
1,1,1,1,0,1
1,0,0,0,1,0
1,1,0,0,1,0
0,0,0,0,0,1
1,0,0,0,0,1
1,1,0,0,1,0
1,1,0,0,0,1
1,0,1,1,0,1
1,1,0,0,1,0
1,1,0,0,1,0
1,1,0,0,1,0
1,0,1,0,1,1
1,1,1,0,1,0
1,1,0,0,1,0
1,1,0,0,1,0
1,1,0,0,1,0
1,1,1,0,1,0
1,1,0,0,1,0
1,0,0,0,1,0
1,1,1,1,1,1
1,0,0,0,1,0
0,1,0,1,1,1
1,1,0,1,0,1
0,0,0,0,0,1
1,1,0,0,1,0
1,0,0,0,1,0
1,1,0,0,1,0
1,0,1,0,1,0
1,1,1,0,1,0
0,0,0,0,0,1
1,1,1,0,1,0
1,1,0,1,0,1
1,1,1,1,1,1
1,1,0,1,0,1
1,0,0,1,0,1
1,0,0,0,0,1
1,0,0,1,0,1
1,0,0,0,0,1
1,0,0,1,0,1
1,0,1,0,0,0
1,0,0,0,0,0
1,1,0,1,0,1
0,0,0,1,0,1
1,1,0,0,1,0
1,0,0,0,1,0
1,0,0,0,1,0
1,1,1,0,1,0
