site,max_temp
1 Km South of the marina,22.08470167
1000m S of Harbor,22.08470167
500m S of Harbor,22.08470167
Achziv,28.61159667
ADRASAN,28.975702
Akhziv Is.,28.00932667
ALONISSOS,25.99442375
Alykes,25.2447375
Asinara,24.91204273
ASINARA_add,24.667286
AYVALIK,24.17073
Banyuls,22.08470167
Banyuls port,22.08470167
Beach at next bay over from Banyuls,22.08470167
Behind the marina,22.08470167
Brijuni,24.93768125
CABRERA,26
Cap Bear,22.06547143
Cap Canadelle,22.08470167
Cap Cerbere,22.07552857
CAP DE CREUS,22.380507
Cap d'Ullastrell,22.089504
Cap l'Abeille,22.08470167
Cap Peyrefite,22.08470167
Cap Rederis,22.08470167
CAPO CACCIA,24.2891875
CARLOFORTE,24.89167667
CAVALLERIA,26
Chapel,27.96936111
DRAGONERA,26.03107429
EIVISSA,26
FETHIYE,27.73125
FORMENTERA,26
FORMENTOR,26.08041
Gdor,28.61001833
GENOVA,25.01119333
GOKOVA,26.29484333
GYAROS,24.868112
Habonim,28.372674
ILLA DE L'AIRE,26
KARPATHOS,24.99332
KAS,28
Keysaria Port,22.08470167
KIMOLOS,24.89316143
Kolokytha,25.315782
Konnos Point,27.96936111
Kornati,24.54843111
Lampedusa,26
Mades,25.051115
Malta,26
MARATEA,27.25802167
Marettimo,25.950003
MEDES,22.75061167
Miljet,25.03736889
Mljet,25.03736889
MONTGRI,22.82938167
Nachlieli,28.02562
"North of the arches, public beach",22.08470167
North slope algae,28.006995
North slope C,28.006995
North slope GZ,28.006995
OTRANTO,25.61376
Outside reseve,22.08470167
PIPERI,25.04943
PORTO CESAREO,26
PORTOFINO,25.025095
Ridge 1,28.006995
San vito,26.0027575
Segavion,28.00932667
Shachaf,28.02562
Shikmona,28.44805
Shikmona 1,28.006995
Shikmona 2,28.006995
Shikmona 3,28.006995
Shikmona 4,28.006995
Shikmona 5,28.006995
South edge of no-take zone,22.08470167
south of Cape Bear,22.08470167
Spartan,28.006995
Sponge Bob Harbor,27.96553125
TAVOLARA,25
TORRE GUACETO,25.62759167
TREMITI,25.438996
Ustica,26.99801333
