max_temp,sites,Sarpa.salpa,Diplodus.sargus,Epinephelus.marginatus
24.667286,Asinara,1,1,1
24.23699182,ASINARA_add,1,1,1
26,Lampedusa,1,1,1
26,Malta,1,1,1
22.08470167,1 Km South of the marina,1,1,0
22.08470167,1000m S of Harbor,0,1,1
22.08470167,500m S of Harbor,1,1,0
28.61159667,Achziv,0,1,1
22.08470167,Banyuls,1,1,0
22.08470167,Banyuls port,0,1,0
22.08470167,Beach at next bay over from Banyuls,0,1,0
22.08470167,Behind the marina,0,1,0
24.9291475,Brijuni,1,1,0
28.61001833,Gdor,0,1,1
28.372674,Habonim,0,1,1
22.08470167,Keysaria Port,0,1,0
24.10505444,Kornati,1,1,1
25.950003,Marettimo,1,1,1
25.033804,Miljet,1,1,1
25.035611,Mljet,1,1,1
22.08470167,"North of the arches, public beach",1,1,0
22.08470167,Outside reseve,1,1,0
26.0027575,San vito,1,1,1
28.44805,Shikmona,0,1,1
22.08470167,South edge of no-take zone,0,1,0
22.08470167,south of Cape Bear,0,1,0
26.99801333,Ustica,1,1,1
22.06547143,Cap Bear,1,1,0
22.08470167,Cap Canadelle,1,1,0
22.07552857,Cap Cerbere,1,1,0
22.089504,Cap d'Ullastrell,1,1,0
22.07586,Cap l'Abeille,1,1,1
22.08470167,Cap Peyrefite,1,1,1
22.08470167,Cap Rederis,1,1,1
28.00932667,Akhziv Is.,0,1,1
25.2447375,Alykes,1,1,0
27.96936111,Chapel,0,1,0
25.315782,Kolokytha,0,1,1
27.96936111,Konnos Point,0,1,0
25.051115,Mades,1,1,0
28.02562,Nachlieli,1,1,1
28.006995,North slope algae,1,0,1
28.006995,North slope C,0,1,1
28.006995,North slope GZ,0,0,0
28.006995,Ridge 1,0,0,0
28.00932667,Segavion,0,1,1
28.02562,Shachaf,1,1,1
28.006995,Shikmona 1,0,1,0
28.006995,Shikmona 2,0,1,0
28.006995,Shikmona 3,0,1,0
28.006995,Shikmona 4,0,1,0
28.006995,Shikmona 5,0,1,0
28.006995,Spartan,0,1,1
27.96553125,Sponge Bob Harbor,0,0,0
28.72546714,ADRASAN,0,1,1
25.99442375,ALONISSOS,1,1,0
24.13684625,AYVALIK,1,1,1
26,CABRERA,1,1,1
22.380507,CAP DE CREUS,1,1,1
24.2891875,CAPO CACCIA,1,1,1
24.735165,CARLOFORTE,1,1,1
26,CAVALLERIA,1,1,1
26.021752,DRAGONERA,1,1,0
26,EIVISSA,1,1,1
27.62371429,FETHIYE,0,1,1
26,FORMENTERA,1,1,1
26.08041,FORMENTOR,1,1,1
25.01119333,GENOVA,1,1,0
25.97714,GOKOVA,0,1,1
24.868112,GYAROS,1,1,1
26,ILLA DE L'AIRE,1,1,0
24.99332,KARPATHOS,1,1,1
28,KAS,0,0,0
24.68382111,KIMOLOS,1,1,1
27.25802167,MARATEA,1,1,1
22.75061167,MEDES,1,1,1
22.72689429,MONTGRI,1,1,0
25.61376,OTRANTO,1,1,1
25.03107455,PIPERI,1,1,1
26,PORTO CESAREO,1,1,0
25.025095,PORTOFINO,1,1,1
25,TAVOLARA,1,1,1
25.62759167,TORRE GUACETO,1,1,0
25.438996,TREMITI,1,1,0
