"","site"
"1","ASINARA_add"
"811","Asinara"
"3716","Linosa"
"3975","Lampedusa"
"5309","Malta"
"7662","Brijuni"
"8720","Kornati"
"9873","Miljet"
"10446","Mljet"
"11027","500m S of Harbor"
"11256","1000m S of Harbor"
"11570","Behind the marina"
"11648","South edge of no-take zone"
"11960","Outside reseve"
"12268","Banyuls"
"12626","Banyuls port"
"12810","south of Cape Bear"
"13126","Beach at next bay over from Banyuls"
"13273","North of the arches, public beach"
"13672","1 Km South of the marina"
"14266","Keysaria Port"
"14304","Habonim"
"14504","Shikmona"
"14786","Achziv"
"15102","Gdor"
"23873","Marettimo"
"24811","Ustica"
"25839","San vito"
"26968","Cap Bear"
"27215","Cap d'Ullastrell"
"27412","Cap Peyrefite"
"27641","Cap Cerbere"
"27792","Cap Canadelle"
"28012","Cap Rederis"
"28499","Cap l'Abeille"
"37844","Akhziv Is."
"38041","Alykes"
"38150","Chapel"
"38301","Kolokytha"
"38491","Konnos Point"
"38631","Mades"
"38798","Nachlieli"
"39016","North slope algae"
"39155","North slope C"
"39336","North slope GZ"
"39367","Ridge 1"
"39420","Segavion"
"39548","Shachaf"
"39813","Shikmona 1"
"39851","Shikmona 2"
"39971","Shikmona 3"
"40083","Shikmona 4"
"40136","Shikmona 5"
"40205","Spartan"
"40429","Sponge Bob Harbor"
"40599","ADRASAN"
"40713","ILLA DE L'AIRE"
"40936","ALONISSOS"
"41218","AYVALIK"
"41537","CABRERA"
"41833","CAPO CACCIA"
"42114","CARLOFORTE"
"42580","CAVALLERIA"
"42837","CAP DE CREUS"
"43187","DRAGONERA"
"43426","EIVISSA"
"43745","FETHIYE"
"43893","FORMENTERA"
"44239","FORMENTOR"
"44436","GENOVA"
"44812","GOKOVA"
"45028","GYAROS"
"45224","KARPATHOS"
"45494","KAS"
"45667","KIMOLOS"
"45958","MARATEA"
"46238","MEDES"
"46654","MONTGRI"
"46969","OTRANTO"
"47402","PORTO CESAREO"
"47801","PIPERI"
"48075","PORTOFINO"
"48403","TAVOLARA"
"48838","TORRE GUACETO"
"49381","TREMITI"
